title,soup
Training Day,policebrutality warondrugs drugtraffic denzelwashington ethanhawke scottglenn antoinefuqua action crime drama
Galaxy Quest,spacebattle spaceship spoof timallen sigourneyweaver alanrickman deanparisot comedy family sciencefiction
Scary Movie 2,sex exorcism secretdoor annafaris marlonwayans jamesdebello keenenivorywayans comedy
The Muppets,musical themuppets robot amyadams jasonsegel emilyblunt jamesbobin comedy family music
Blade,suicide hero vampire wesleysnipes stephendorff kriskristofferson stephennorrington horror action
Coach Carter,blackpeople autoritianeducation sport samuell.jackson robbrown robertri'chard thomascarter drama
Changing Lanes,newyork custodybattle suspense benaffleck samuell.jackson kimstaunton rogermichell action adventure crime
Anaconda,amazon jungle anaconda jenniferlopez icecube jonvoight luisllosa adventure horror thriller
Coyote Ugly,bar musical beautifulwoman piperperabo adamgarcia johngoodman davidmcnally comedy
Love Actually,londonengland malenudity femalenudity keiraknightley heikemakatsch emmathompson richardcurtis comedy romance drama
A Bug's Life,winter fight ant kevinspacey julialouis-dreyfus haydenpanettiere andrewstanton adventure animation comedy
From Hell,lossoffamily drugaddiction jacktheripper johnnydepp heathergraham ianholm alberthughes horror mystery thriller
The Specialist,explosive revenge explosivesexpert sylvesterstallone sharonstone jameswoods luisllosa action thriller
Tin Cup,lover(female) golf man-womanrelation kevincostner donjohnson cheechmarin ronshelton comedy drama romance
"Yours, Mine and Ours",nurse widow children lucilleball henryfonda vanjohnson melvilleshavelson comedy drama family
Kicking & Screaming,fathersonrelationship generationsconfilct sport willferrell robertduvall katewalsh jessedylan romance comedy family
The Hitchhiker's Guide to the Galaxy,bureaucracy england dolphin martinfreeman zooeydeschanel samrockwell garthjennings adventure comedy family
Fat Albert, kenanthompson shedrackandersoniii jermainewilliams joelzwick comedy drama family
Resident Evil: Extinction,clone mutant post-apocalyptic millajovovich odedfehr alilarter russellmulcahy horror action sciencefiction
Blended,africa blinddate relationship drewbarrymore adamsandler wendimclendon-covey frankcoraci comedy
Last Holiday, queenlatifah llcoolj timothyhutton waynewang adventure comedy drama
The River Wild,river robber boston merylstreep davidstrathairn kevinbacon curtishanson action adventure crime
The Indian in the Cupboard,cupboard games puppet halscardino litefoot lindsaycrouse frankoz adventure family fantasy
Savages,widow americanabroad eyegouging blakelively taylorkitsch aarontaylor-johnson oliverstone crime drama thriller
Cellular,bank mobilephone telephone chrisevans kimbasinger jasonstatham davidr.ellis action adventure crime
Johnny English,spy hero queen rowanatkinson johnmalkovich natalieimbruglia peterhowitt adventure action comedy
The Ant Bully,ant childhero shrinking juliaroberts merylstreep nicolascage johna.davis fantasy adventure animation
Dune,prophecy witch monster kylemaclachlan francescaannis leonardocimino davidlynch action sciencefiction adventure
Across the Universe,riot protest musical evanrachelwood jimsturgess joeanderson julietaymor adventure drama music
Revolutionary Road,adultery jealousy infidelity leonardodicaprio katewinslet michaelshannon sammendes drama romance
16 Blocks,missionofmurder malebonding doingtherightthing brucewillis yasiinbey davidmorse richarddonner action adventure crime
Babylon A.D.,submarine baby secret vindiesel michelleyeoh mélaniethierry mathieukassovitz action adventure sciencefiction
The Glimmer Man,secretagent past cop stevenseagal keenenivorywayans bobgunton johngray action adventure crime
Multiplicity,clone mistakeinperson cloning michaelkeaton andiemacdowell harrisyulin haroldramis comedy fantasy sciencefiction
Aliens in the Attic,alien comedy duringcreditsstinger carterjenkins austinbutler kevinnealon johnschultz adventure comedy family
The Pledge,promise murder drawing jacknicholson aaroneckhart helenmirren seanpenn crime drama mystery
The Producers,cheating adolfhitler success matthewbroderick umathurman willferrell susanstroman comedy music
The Phantom,secretidentity gold gangsterboss billyzane kristyswanson treatwilliams simonwincer adventure action
All the Pretty Horses,dancing chess prisoner mattdamon henrythomas penélopecruz billybobthornton drama romance western
Nixon,usapresident presidentialelection watergatescandal anthonyhopkins joanallen powersboothe oliverstone history drama
The Ghost Writer,londonengland cia warcrimes ewanmcgregor piercebrosnan jonbernthal romanpolanski thriller mystery
Deep Rising,oceanliner seamonster jewelheist treatwilliams famkejanssen anthonyheald stephensommers adventure action horror
Miracle at St. Anna,blackpeople worldwarii toscana derekluke michaelealy lazalonso spikelee drama war
Curse of the Golden Flower,poison china martialarts chowyun-fat gongli jaychou zhangyimou action drama fantasy
Bangkok Dangerous,assassin asia gun nicolascage shahkrityamnarm charlieyeung dannypang action crime thriller
Big Trouble,gadfly timallen renerusso patrickwarburton barrysonnenfeld action comedy thriller
Love in the Time of Cholera,sex marriageproposal newlove javierbardem unaxugalde benjaminbratt mikenewell drama romance
Shadow Conspiracy, charliesheen donaldsutherland lindahamilton georgep.cosmatos action thriller
Johnny English Reborn,buddhistmonk cooking primeminister rowanatkinson dominicwest gilliananderson oliverparker crime adventure action
Foodfight!,supermarket fight productplacement charliesheen waynebrady hilaryduff lawrencekasanoff animation action comedy
Argo,cia wifehusbandrelationship document benaffleck bryancranston alanarkin benaffleck drama thriller
The Fugitive,chicago showdown undercover harrisonford tommyleejones selaward andrewdavis adventure action thriller
The Bounty Hunter,bountyhunter ex-husbandex-wiferelationship gerardbutler jenniferaniston gioperez andytennant action
Sleepers,childabuse sadistic sexualabuse robertdeniro bradpitt kevinbacon barrylevinson crime drama thriller
Rambo: First Blood Part II,usa vietnamveteran submachinegun sylvesterstallone richardcrenna charlesnapier georgep.cosmatos action adventure thriller
The Juror,jurors blackmail courtcase demimoore alecbaldwin josephgordon-levitt briangibson drama thriller
Pinocchio,italy lie magic melblanc donbrodie waltercatlett bensharpsteen animation family
Heaven's Gate,montana showdown brothel kriskristofferson christopherwalken johnhurt michaelcimino action drama history
Underworld: Evolution,budapest key vampire katebeckinsale scottspeedman tonycurran lenwiseman fantasy action sciencefiction
Victor Frankenstein,londonengland humanexperimentation frankenstein jamesmcavoy danielradcliffe jessicabrownfindlay paulmcguigan drama sciencefiction thriller
Finding Forrester,upperclass brotherbrotherrelationship scotland seanconnery robbrown f.murrayabraham gusvansant drama
28 Days,alcoholism urteil carcrash sandrabullock viggomortensen dominicwest bettythomas comedy drama
Unleashed,martialarts hitman serialkiller jetli morganfreeman bobhoskins louisleterrier action crime
The Sweetest Thing,roommate marriage aftercreditsstinger camerondiaz christinaapplegate thomasjane rogerkumble romance comedy
The Firm,fbi law tennessee tomcruise jeannetripplehorn genehackman sydneypollack drama mystery thriller
Charlie St. Cloud,brotherbrotherrelationship basedonnovel sailing zacefron amandacrew charlietahan burrsteers drama
The Mechanic,poison chicago prostitute jasonstatham benfoster donaldsutherland simonwest action thriller crime
21 Jump Street,malefriendship highschool parody channingtatum jonahhill brielarson phillord action comedy crime
Notting Hill,londonengland bookshop birthday juliaroberts hughgrant ginamckee rogermichell romance comedy drama
Chicken Run,chicken freedom escape melgibson mirandarichardson timothyspall nickpark animation comedy family
Along Came Polly,beach honeymoon bride benstiller jenniferaniston philipseymourhoffman johnhamburg comedy romance
Boomerang,roleofwomen ladykiller success eddiemurphy robingivens halleberry reginaldhudlin comedy romance
The Heat,boston fbi buddycomedy sandrabullock melissamccarthy demiánbichir paulfeig action comedy crime
Cleopatra,ancientrome historicalfigure cleopatra elizabethtaylor richardburton rexharrison josephl.mankiewicz drama history romance
Here Comes the Boom,highschoolteacher prizemoney physicsteacher salmahayek kevinjames henrywinkler frankcoraci comedy
High Crimes,basedonnovel witness village ashleyjudd morganfreeman jimcaviezel carlfranklin drama mystery thriller
The Mirror Has Two Faces,sex professor wedding barbrastreisand jeffbridges laurenbacall barbrastreisand comedy drama romance
The Mothman Prophecies,basedonnovel smalltown dream richardgere lauralinney willpatton markpellington drama horror mystery
Brüno,gay fame mockumentary sachabaroncohen richardbey ronpaul larrycharles comedy
Licence to Kill,corruption florida secretidentity timothydalton careylowell robertdavi johnglen adventure action thriller
Red Riding Hood,winter fantasy fairytale amandaseyfried garyoldman billyburke catherinehardwicke fantasy thriller horror
15 Minutes,newyork femalenudity prison robertdeniro charlizetheron edwardburns johnherzfeld action crime thriller
Super Mario Bros.,savingtheworld brotherbrotherrelationship royalty bobhoskins johnleguizamo dennishopper annabeljankel adventure comedy family
Lord of War,coldwar weapon armsdealer nicolascage bridgetmoynahan jaredleto andrewniccol crime drama thriller
Hero,countryside lossoflover rightandjustice jetli tonyleungchiu-wai maggiecheung zhangyimou drama adventure action
One for the Money,bountyhunter basedonnovel romance katherineheigl jasono'mara danielsunjata julieannerobinson action comedy crime
The Interview,cia coupd'etat northkorea jamesfranco sethrogen lizzycaplan sethrogen action comedy
The Warrior's Way,assassin smalltown forest katebosworth jangdong-gun geoffreyrush sngmoolee adventure fantasy action
Micmacs,unemployment contortionist humancannonball danyboon dominiquepinon andrédussollier jean-pierrejeunet action comedy crime
8 Mile,individual streetgang adolescence eminem mekhiphifer brittanymurphy curtishanson drama
Why I Did (Not) Eat My Father,animation evolution humanity jameldebbouze ariéelmaleh mélissatheuriau jameldebbouze adventure comedy animation
A Knight's Tale,poetry knight tournament heathledger rufussewell shannynsossamon brianhelgeland adventure drama romance
The Medallion,detective medallion leatherjacket jackiechan leeevans claireforlani gordonchan thriller fantasy action
The Sixth Sense,childabuse senseofguilt lossofchild brucewillis tonicollette oliviawilliams m.nightshyamalan mystery thriller drama
Man on a Ledge,deception newyorkcity rooftop samworthington elizabethbanks jamiebell asgerleth action thriller crime
The Big Year,helicopter basedonnovel honeymoon owenwilson stevemartin jackblack davidfrankel comedy
The Karate Kid,flat taskmaster karate ralphmacchio patmorita williamzabka johng.avildsen drama
American Hustle,conartist scam mobster christianbale bradleycooper amyadams davido.russell drama crime
The Proposal,fictitiousmarriage deportation immigrationlaw sandrabullock ryanreynolds marysteenburgen annefletcher comedy romance drama
Double Jeopardy,prison sailboat sailingtrip tommyleejones ashleyjudd brucegreenwood bruceberesford crime drama mystery
Back to the Future Part II,skateboarding flyingcar carrace michaelj.fox christopherlloyd leathompson robertzemeckis adventure comedy family
Lucy,artificialintelligence telepathy intelligence scarlettjohansson morganfreeman choimin-sik lucbesson action sciencefiction
Fifty Shades of Grey,basedonnovel perversion spanking dakotajohnson jamiedornan jenniferehle samtaylor-johnson drama romance thriller
Spy Kids 3-D: Game Over,videogame intelligence liberation antoniobanderas carlagugino alexapenavega robertrodriguez action adventure comedy
A Time to Kill,kukluxklan rape mississippi matthewmcconaughey sandrabullock samuell.jackson joelschumacher crime drama thriller
Cheaper by the Dozen,bigfamily newjob aspiringactor stevemartin bonniehunt piperperabo shawnlevy comedy
Lone Survivor,war survival navyseal markwahlberg taylorkitsch emilehirsch peterberg action drama thriller
A League of Their Own,baseball worldwarii sport tomhanks geenadavis madonna pennymarshall comedy
The Conjuring 2,londonengland england 1970s patrickwilson verafarmiga madisonwolfe jameswan horror
The Social Network,hacker hacking creator jesseeisenberg andrewgarfield justintimberlake davidfincher drama
He's Just Not That Into You,relationship ensemblecast duringcreditsstinger benaffleck jenniferaniston drewbarrymore kenkwapis comedy romance drama
Scary Movie 4,hauntedhouse alienlife-form riesen-ipod annafaris reginahall craigbierko davidzucker comedy
Scream 3,mask metaldetector filmdirector davidarquette nevecampbell courteneycox wescraven horror mystery
Back to the Future Part III,railroadrobber california delorean michaelj.fox christopherlloyd marysteenburgen robertzemeckis adventure comedy family
Get Hard,prison training framed willferrell kevinhart alisonbrie etancohen comedy
Dracula,adultery maze vampire garyoldman winonaryder anthonyhopkins francisfordcoppola romance horror
Julie & Julia,cooking book cookbook merylstreep amyadams stanleytucci noraephron romance drama
42,baseball biography sport chadwickboseman t.r.knight harrisonford brianhelgeland drama
The Talented Mr. Ripley,venice italy gay mattdamon gwynethpaltrow judelaw anthonyminghella thriller crime drama
Dumb and Dumber To,friendship sequel roadmovie jimcarrey jeffdaniels rachelmelvin bobbyfarrelly comedy
Eight Below,expedition pilot survival paulwalker brucegreenwood moonbloodgood frankmarshall adventure drama family
The Intern,intern womandirector robertdeniro annehathaway renerusso nancymeyers comedy
Ride Along 2,police sequel policeofficer kevinhart icecube oliviamunn timstory action comedy
The Last of the Mohicans,secretlove mohawk nativeamerican danielday-lewis madeleinestowe russellmeans michaelmann action adventure drama
Ray,blackpeople soul countrymusic jamiefoxx kerrywashington reginaking taylorhackford drama music
Sin City,dystopia basedoncomicbook heldcaptive jessicaalba devonaoki cliveowen robertrodriguez action thriller crime
Vantage Point,bomb terror spain dennisquaid matthewfox forestwhitaker petetravis drama action thriller
"I Love You, Man",poker bondage duringcreditsstinger paulrudd jasonsegel rashidajones johnhamburg comedy
Shallow Hal,overweight beauty hypnosis gwynethpaltrow jackblack jasonalexander bobbyfarrelly comedy romance
JFK,assassination cia homophobia kevincostner tommyleejones garyoldman oliverstone drama thriller history
Big Momma's House 2,undercover nanny computervirus martinlawrence nialong emilyprocter johnwhitesell comedy crime
The Mexican,kidnapping pistol bradpitt juliaroberts jamesgandolfini goreverbinski action comedy crime
17 Again,highschool bullying highschoolsports zacefron lesliemann matthewperry burrsteers comedy
The Other Woman,infidelity revenge unfaithfulboyfriend camerondiaz lesliemann kateupton nickcassavetes comedy romance
The Final Destination,carrace dyinganddeath plan bobbycampo shantelvansanten nickzano davidr.ellis horror mystery
Bridge of Spies,spy cia coldwar tomhanks markrylance amyryan stevenspielberg thriller drama
Behind Enemy Lines,helicopter warcrimes sniper owenwilson genehackman gabrielmacht johnmoore action drama thriller
Get Him to the Greek,aftercreditsstinger jonahhill russellbrand rosebyrne nicholasstoller comedy
Shall We Dance?,jealousy wifehusbandrelationship dancingmaster richardgere jenniferlopez susansarandon peterchelsom drama romance comedy
Small Soldiers,defenseindustry toyshop technicaltoy gregorysmith kirstendunst denisleary joedante comedy adventure fantasy
Spawn,antihero secretagent fistfight michaeljaiwhite martinsheen johnleguizamo marka.z.dippé action adventure fantasy
The Count of Monte Cristo,lossoflover lover(female) ex-lover jimcaviezel guypearce richardharris kevinreynolds action adventure drama
The Lincoln Lawyer,judge arrest jury matthewmcconaughey marisatomei ryanphillippe bradfurman crime drama thriller
Unknown,taxi hotel coma liamneeson dianekruger januaryjones jaumecollet-serra action mystery thriller
The Prestige,competition secret obsession hughjackman christianbale michaelcaine christophernolan drama mystery thriller
Horrible Bosses 2,prison kidnapping sequel jasonbateman jasonsudeikis charlieday seananders comedy
Escape from Planet Earth,spaceship alien rescue brendanfraser robcorddry rickygervais callanbrunker animation comedy adventure
Apocalypto,lossoffamily solareclipse slavery rudyyoungblood raoulmaxtrujillo gerardotaracena melgibson action adventure drama
The Living Daylights,londonengland smugglingofarms prison timothydalton maryamd'abo jeroenkrabbé johnglen action adventure thriller
Predators,hunter predator yakuza tophergrace alicebraga laurencefishburne nimródantal action sciencefiction adventure
Legal Eagles,courtcase client lawyer robertredford debrawinger darylhannah ivanreitman comedy crime drama
Secret Window,alcohol adultery detective johnnydepp johnturturro timothyhutton davidkoepp thriller mystery
The Lake House,chicago writing architect keanureeves sandrabullock shohrehaghdashloo alejandroagresti romance drama mystery
The Skeleton Key,nurse secret dream katehudson genarowlands petersarsgaard iainsoftley drama horror mystery
The Odd Life of Timothy Green,green dodgeball incredibile jennifergarner joeledgerton ronlivingston peterhedges fantasy drama comedy
Made of Honor,scotland loveofone'slife ladykiller patrickdempsey michellemonaghan kevinmckidd paulweiland comedy romance
Jersey Boys,biography basedonplay christopherwalken vincentpiazza freyatingley clinteastwood music drama
The Rainmaker,jurors proof courtcase mattdamon dannydevito jonvoight francisfordcoppola drama crime thriller
Gothika,amnesia mentalinstitution patient halleberry robertdowneyjr. charless.dutton mathieukassovitz horror thriller
Amistad,cuba mutiny slavery morganfreeman nigelhawthorne anthonyhopkins stevenspielberg drama history mystery
Medicine Man,medicine ant research seanconnery lorrainebracco joséwilker johnmctiernan adventure
Aliens vs Predator: Requiem,predator nationalguard hybrid stevenpasquale reikoaylesworth johnortiz colinstrause fantasy action sciencefiction
Ri¢hie Ri¢h,family liferaft privateplane macaulayculkin johnlarroquette edwardherrmann donaldpetrie comedy family
Autumn in New York,newlove loveofone'slife unexpectedhappiness richardgere winonaryder anthonylapaglia joanchen drama romance
Music and Lyrics,popstar song romanticcomedy drewbarrymore hughgrant scottporter marclawrence comedy music romance
Paul,sandiego area51 alienspacecraft sethrogen simonpegg nickfrost gregmottola adventure comedy sciencefiction
The Guilt Trip,inventor roadtrip guilt sethrogen barbrastreisand yvonnestrahovski annefletcher comedy
Scream 4,sheriff book knife davidarquette nevecampbell courteneycox wescraven horror mystery
8MM,pornography pornactor lossofdaughter nicolascage joaquinphoenix jamesgandolfini joelschumacher thriller crime mystery
The Doors,hippie poetry sex valkilmer megryan kylemaclachlan oliverstone drama music
Sex Tape,marriage internet relationship camerondiaz jasonsegel robcorddry jakekasdan comedy
Hanging Up,sistersisterrelationship cheating amnesia megryan dianekeaton lisakudrow dianekeaton comedy drama
Final Destination 5,premonition deathbyaccident crash emmabell nicholasd'agosto milesfisher stevenquale horror mystery
Mickey Blue Eyes,newyork marriageproposal fbi hughgrant jamescaan jeannetripplehorn kellymakin comedy crime romance
Pay It Forward,child'spointofview candlelightvigil gooddeed kevinspacey helenhunt haleyjoelosment mimileder drama romance
Fever Pitch,baseball fanatic relationshipproblems drewbarrymore jimmyfallon jasonspevack bobbyfarrelly comedy drama romance
Drillbit Taylor,prison jealousy homelessperson owenwilson lesliemann joshpeck stevenbrill comedy
A Million Ways to Die in the West,gunslinger farmer wildwest sethmacfarlane charlizetheron liamneeson sethmacfarlane comedy western
The Shadow,newyork atomicbomb ladykiller alecbaldwin johnlone penelopeannmiller russellmulcahy adventure fantasy action
Extremely Loud & Incredibly Close,basedonnovel autism key thomashorn tomhanks sandrabullock stephendaldry drama
Morning Glory,workethic tvmorningshow tvreporter rachelmcadams harrisonford patrickwilson rogermichell comedy drama romance
Get Rich or Die Tryin',lossofmother attemptedmurder career 50cent joybryant adewaleakinnuoye-agbaje jimsheridan drama
The Art of War,china chinesewoman secretagent wesleysnipes donaldsutherland maurychaykin christianduguay crime action adventure
Rent,gay sex aids anthonyrapp adampascal rosariodawson chriscolumbus drama romance
Bless the Child,sistersisterrelationship autism mephisto kimbasinger angelabettis hollistoncoleman chuckrussell drama horror thriller
The Out-of-Towners,newyork travel misfortune stevemartin goldiehawn johncleese samweisman comedy
The Island of Dr. Moreau,monster experiment island marlonbrando valkilmer davidthewlis johnfrankenheimer fantasy horror sciencefiction
The Musketeer,lossoffamily queen power catherinedeneuve menasuvari stephenrea peterhyams action adventure drama
The Other Boleyn Girl,england sistersisterrelationship queen natalieportman scarlettjohansson ericbana justinchadwick drama
Sweet November,workaholic dogsitter keanureeves charlizetheron jasonisaacs pato'connor drama romance
The Reaping,river miracle bible hilaryswank davidmorrissey idriselba stephenhopkins horror
Mean Streets,epilepsy protectionmoney secretlove harveykeitel robertdeniro davidproval martinscorsese drama crime
Renaissance Man,vietnamveteran commercial advertisingexpert dannydevito markwahlberg gregoryhines pennymarshall comedy war
Colombiana,streetgang uncle femaleassassin zoesaldana cliffcurtis callumblue oliviermegaton action thriller crime
Quest for Camelot, jessalyngilsig caryelwes garyoldman frederikduchau fantasy animation drama
City By The Sea,murder homicidedetective robertdeniro jamesfranco francesmcdormand michaelcaton-jones crime drama mystery
At First Sight,blind massagetherapist valkilmer mirasorvino kellymcgillis irwinwinkler drama romance
Torque,ex-girlfriend drugdealer gang martinhenderson icecube monetmazur josephkahn action
City Hall,corruption undercover warondrugs alpacino johncusack bridgetfonda haroldbecker drama thriller
Showgirls,dancing femalenudity go-godancer elizabethberkley kylemaclachlan ginagershon paulverhoeven drama
Marie Antoinette,shoe voiceover rite kirstendunst jasonschwartzman judydavis sofiacoppola drama history
Kiss of Death,hoodlum davidcaruso samuell.jackson nicolascage barbetschroeder action crime drama
Get Carter,ritual pornographicvideo carcrash sylvesterstallone mirandarichardson rachaelleighcook stephent.kay action drama thriller
The Impossible,thailand tsunami familyvacation naomiwatts ewanmcgregor tomholland juanantoniobayona thriller drama
Ishtar,wilderness sahara beautifulwoman warrenbeatty dustinhoffman isabelleadjani elainemay action adventure comedy
Fantastic Mr. Fox,fox tree peasant georgeclooney merylstreep jasonschwartzman wesanderson adventure animation comedy
Life or Something Like It, angelinajolie edwardburns tonyshalhoub stephenherek comedy drama romance
Memoirs of an Invisible Man,invisibleman chevychase darylhannah samneill johncarpenter comedy fantasy sciencefiction
Amélie,paris lovetriangle ghosttrain audreytautou mathieukassovitz rufus jean-pierrejeunet comedy romance
New York Minute,twinsister musicvideo geek ashleyolsen mary-kateolsen eugenelevy denniegordon comedy
Alfie,newyork cheating flirt judelaw marisatomei omarepps charlesshyer comedy
Big Miracle,whale alaska aftercreditsstinger drewbarrymore johnkrasinski kristenbell kenkwapis adventure drama romance
The Deep End of the Ocean,kidnapping boy reunion michellepfeiffer treatwilliams whoopigoldberg ulugrosbard drama mystery
FearDotCom,raceagainsttime psychopath homepage stephendorff nataschamcelhone stephenrea williammalone horror thriller
Cirque du Freak: The Vampire's Assistant,vampire spider wolfman johnc.reilly joshhutcherson chrismassoglia paulweitz adventure fantasy action
Duplex, benstiller drewbarrymore eileenessell dannydevito action comedy thriller
Soul Men,duringcreditsstinger samuell.jackson berniemac sharonleal malcolmd.lee comedy music
Raise the Titanic, m.emmetwalsh richardjordan davidselby jerryjameson action drama thriller
Universal Soldier: The Return,supercomputer computerprogram destiny jean-claudevandamme kianatom billgoldberg microdgers action sciencefiction
Pandorum,dystopia spaceship survival benfoster dennisquaid camgigandet christianalvart action horror mystery
Impostor,android alien garysinise madeleinestowe mekhiphifer garyfleder action sciencefiction thriller
Extreme Ops,ski devonsawa bridgettewilson rufussewell christianduguay action adventure drama
Just Visiting,timetravel remake alternatehistory jeanreno christinaapplegate christianclavier jean-mariepoiré comedy fantasy sciencefiction
Sunshine,savingtheworld bomb sun cillianmurphy rosebyrne chrisevans dannyboyle sciencefiction thriller
A Thousand Words,liar literaryagent eddiemurphy allisonjanney cliffcurtis brianrobbins drama comedy
Delgo, freddieprinzejr. jenniferlovehewitt valkilmer marcf.adler adventure fantasy animation
The Gunman,assassin hitman seanpenn jasminetrinca javierbardem pierremorel action drama crime
Stormbreaker,england secretintelligenceservice childhero alexpettyfer sarahbolger ewanmcgregor geoffreysax adventure action family
Disturbia,kidnapping youngpeople shialabeouf sarahroemer carrie-annemoss d.j.caruso thriller drama mystery
Hackers,femalenudity hacker nudity jonnyleemiller angelinajolie jessebradford iainsoftley action crime thriller
The Hunting Party,civilwar spy hotel richardgere terrencehoward jamesbrolin richardshepard action adventure thriller
The Hudsucker Proxy,suicide newyork corruption timrobbins jenniferjasonleigh paulnewman joelcoen comedy drama
The Warlords,assassin general dynasty jetli andylau takeshikaneshiro peterchan action drama history
Nomad: The Warrior, kunobecker jayhernandez jasonscottlee sergeibodrovjr. action history war
Snowpiercer,fathersonrelationship childlabour brothel chrisevans songkang-ho edharris bongjoon-ho action sciencefiction drama
A Monster in Paris,monster cgi 3d vanessaparadis mathieuchedid gadelmaleh bibobergeron adventure animation comedy
The Last Shot, matthewbroderick alecbaldwin tonicollette jeffnathanson action comedy
The Crow,halloween arson detroit brandonlee rochelledavis erniehudson alexproyas fantasy action thriller
Baahubali: The Beginning,kingdom war bollywood prabhas ranadaggubati tamannabhatia s.s.rajamouli action adventure war
The Time Traveler's Wife,chicago sex basedonnovel ericbana rachelmcadams michellenolden robertschwentke drama romance fantasy
Because I Said So,mother guitar sistersisterrelationship dianekeaton mandymoore gabrielmacht michaellehmann comedy
Frankenweenie,shyness stopmotion blackandwhite charlietahan catherineo'hara martinshort timburton animation comedy family
Serenity,martialarts telepathy dystopia nathanfillion ginatorres alantudyk josswhedon sciencefiction action adventure
Against the Ropes,biography sport megryan tonyshalhoub joecortese charless.dutton romance drama
Superman III,savingtheworld dccomics supercomputer christopherreeve richardpryor jackiecooper richardlester comedy action adventure
Grudge Match,fathersonrelationship sport rivalry robertdeniro sylvesterstallone alanarkin petersegal comedy
Red Cliff,flamingarrow chinesehistory strategy changchen hujun tonyleungchiu-wai johnwoo adventure drama action
Sweet Home Alabama,newyork marriageproposal alabama reesewitherspoon joshlucas patrickdempsey andytennant comedy romance
The Ugly Truth,romanticcomedy romance tvmorningshow katherineheigl gerardbutler ericwinter robertluketic comedy romance
Sgt. Bilko,gulfwar u.s.army basedontvseries stevemartin danaykroyd philhartman jonathanlynn comedy family
Spy Kids 2: The Island of Lost Dreams,spy experiment island antoniobanderas carlagugino alexapenavega robertrodriguez action adventure family
Star Trek: Generations,basedontvseries death explodingplanet patrickstewart jonathanfrakes brentspiner davidcarson sciencefiction action adventure
The Grandmaster,martialarts kungfu biography tonyleungchiu-wai zhangziyi songhye-kyo wongkar-wai action drama history
Water for Elephants,clown elephanttrainer veterinary robertpattinson reesewitherspoon christophwaltz francislawrence drama romance
Dragon Nest: Warriors' Dawn, carrie-annemoss lucasgrabeel blytheauffarth yuefengsong adventure family fantasy
The Hurricane,prison boxer boxingmatch denzelwashington vicellousreonshannon deborahkaraunger normanjewison drama
Enough,waitress wifehusbandrelationship violenthusband jenniferlopez billycampbell juliettelewis michaelapted drama thriller
Heartbreakers,consandscams sigourneyweaver jenniferlovehewitt genehackman davidmirkin crime comedy romance
Paul Blart: Mall Cop 2,shoppingmall lasvegas securityguard kevinjames rainirodriguez eduardoverástegui andyfickman action comedy family
Angel Eyes,carcrash policeofficer jenniferlopez jimcaviezel jeremysisto luismandoki drama romance thriller
Joe Somebody,profession karate daughter timallen juliebowen kellylynch johnpasquin comedy
The Ninth Gate,newyork obsession passionforcollection johnnydepp franklangella lenaolin romanpolanski horror mystery thriller
Extreme Measures,newyork surgeon british hughgrant genehackman sarahjessicaparker michaelapted drama thriller
Rock Star,rockstar success discontentednessanddispleasedness markwahlberg jenniferaniston jasonflemyng stephenherek music drama comedy
Precious,aids illiteracy song gaboureysidibe mo'nique paulapatton leedaniels drama
White Squall,sailingtrip diary sailing jeffbridges carolinegoodall johnsavage ridleyscott action drama
The Thing,ice spacemarine paranoia kurtrussell keithdavid wilfordbrimley johncarpenter horror mystery sciencefiction
Riddick,dystopia revenge alien vindiesel karlurban kateesackhoff davidtwohy sciencefiction action thriller
Switchback,lossofson serialkiller train dennisquaid dannyglover r.leeermey jebstuart action adventure mystery
Texas Rangers,underwear tiger racialsegregation jamesvanderbeek rachaelleighcook ashtonkutcher steveminer action western
City of Ember,undergroundworld mayor adventure saoirseronan harrytreadaway marykayplace gilkenan adventure family fantasy
The Master,posttraumaticstressdisorder sexualobsession postwarperiod joaquinphoenix philipseymourhoffman amyadams paulthomasanderson drama
Virgin Territory, ryancartwright haydenchristensen mischabarton davidleland adventure action comedy
The Express,americanfootball college biography robbrown dennisquaid darrinhenson garyfleder drama
The 5th Wave,basedonnovel dystopia alien chloëgracemoretz nickrobinson alexroe jblakeson adventure sciencefiction
Creed,underdog sport spinoff michaelb.jordan sylvesterstallone grahammctavish ryancoogler drama
The Town,basedonnovel moneylaundering ambulance benaffleck rebeccahall jeremyrenner benaffleck crime drama thriller
What to Expect When You're Expecting,basedonnovel adoption pregnant camerondiaz jenniferlopez elizabethbanks kirkjones romance comedy drama
Burn After Reading,blackmail paranoia fitness-training georgeclooney francesmcdormand bradpitt joelcoen comedy drama
Nim's Island,fictionalplace exoticisland shipwreck abigailbreslin jodiefoster gerardbutler jenniferflackett adventure comedy family
Rush,worldchampion sport racingcar danielbrühl chrishemsworth oliviawilde ronhoward drama action
Magnolia,farewell regret parentskidsrelationship juliannemoore williamh.macy johnc.reilly paulthomasanderson drama
Cop Out,newyork moneylaundering daughter brucewillis tracymorgan juancarloshernández kevinsmith action comedy crime
How to Be Single,newyork basedonnovel one-nightstand dakotajohnson rebelwilson alisonbrie christianditter comedy romance
Dolphin Tale,dolphin boy trap morganfreeman ashleyjudd harryconnickjr. charlesmartinsmith drama family
Twilight,soulmates vampire forbiddenlove kristenstewart robertpattinson billyburke catherinehardwicke adventure fantasy drama
